Substrate,Group,Distance (mm),RMS (dB)
Leaf,L1,1,0.483093155
Leaf,L1,5,2.229319091
Leaf,L1,10,3.050575358
Leaf,L1,15,2.889410077
Leaf,L1,20,3.489138599
Leaf,L1,35,4.586438328
Leaf,L2,1,0.329805418
Leaf,L2,5,1.660448337
Leaf,L2,10,2.248806502
Leaf,L2,15,1.961780077
Leaf,L2,20,2.096035463
Leaf,L2,35,2.403697917
Leaf,L3,1,0.066095407
Leaf,L3,5,0.405197583
Leaf,L3,10,0.672449992
Leaf,L3,15,0.624260603
Leaf,L3,20,0.017613547
Leaf,L3,35,-0.335119292
Leaf,L4,1,0.046372851
Leaf,L4,5,0.270109692
Leaf,L4,10,0.394851432
Leaf,L4,15,0.350303684
Leaf,L4,20,-0.379616405
Leaf,L4,35,-0.419118905
Leaf,L5,1,0.151846274
Leaf,L5,5,0.785980667
Leaf,L5,10,1.457435337
Leaf,L5,15,2.160425279
Leaf,L5,20,2.3046134
Leaf,L5,35,3.540786983
Rock,R1,1,-0.183880746
Rock,R1,5,-1.2013029
Rock,R1,10,-2.1103819
Rock,R1,15,-2.488881746
Rock,R1,20,-2.827488773
Rock,R1,35,-5.682155494
Rock,R2,1,-0.2839008
Rock,R2,5,-2.029045254
Rock,R2,10,-3.609502181
Rock,R2,15,-3.953936681
Rock,R2,20,-4.509490662
Rock,R2,35,-10.87283495
Rock,R3,1,-0.108338072
Rock,R3,5,-0.663008695
Rock,R3,10,-1.576976606
Rock,R3,15,-2.418286822
Rock,R3,20,-2.195952782
Rock,R3,35,-4.743895876
Rock,R4,1,-0.068991934
Rock,R4,5,-0.382693435
Rock,R4,10,-0.967596726
Rock,R4,15,-1.587424961
Rock,R4,20,-1.657862746
Rock,R4,35,-4.104311435
Rock,R5,1,-0.087534116
Rock,R5,5,-0.506243541
Rock,R5,10,-1.06195301
Rock,R5,15,-1.361798303
Rock,R5,20,-2.199663251
Rock,R5,35,-4.640802151
Sand,S1,1,-0.060935246
Sand,S1,5,-0.328577264
Sand,S1,10,-1.8551873
Sand,S1,15,-4.973240017
Sand,S1,20,-4.456917219
Sand,S1,35,-7.07026488
Sand,S2,1,-0.278104204
Sand,S2,5,-1.999246247
Sand,S2,10,-3.70830104
Sand,S2,15,-4.064201984
Sand,S2,20,-4.311932816
Sand,S2,35,-8.172344688
Sand,S3,1,-0.16748118
Sand,S3,5,-1.05786757
Sand,S3,10,-2.257369348
Sand,S3,15,-3.123199426
Sand,S3,20,-3.748149313
Sand,S3,35,-11.24299911
Sand,S4,1,-0.281131337
Sand,S4,5,-1.969305648
Sand,S4,10,-3.970869857
Sand,S4,15,-4.065265882
Sand,S4,20,-5.650256499
Sand,S4,35,-16.02361717
Sand,S5,1,-0.177202837
Sand,S5,5,-1.116324143
Sand,S5,10,-2.188288712
Sand,S5,15,-2.796721574
Sand,S5,20,-3.418678428
Sand,S5,35,-10.0482037
Stick,W1,1,0.077948596
Stick,W1,5,0.382756236
Stick,W1,10,0.876185656
Stick,W1,15,1.209614897
Stick,W1,20,1.745621325
Stick,W1,35,2.796017951
Stick,W2,1,0.002636341
Stick,W2,5,0.027966013
Stick,W2,10,0.0000133
Stick,W2,15,-0.125611585
Stick,W2,20,-0.354557974
Stick,W2,35,-0.725463688
Stick,W3,1,-0.049163677
Stick,W3,5,-0.266565117
Stick,W3,10,-0.589861353
Stick,W3,15,-1.024283264
Stick,W3,20,-1.55264159
Stick,W3,35,-3.339685048
Stick,W4,1,-0.076092765
Stick,W4,5,-0.456664794
Stick,W4,10,-0.965593644
Stick,W4,15,-1.331909342
Stick,W4,20,-1.480716602
Stick,W4,35,-2.687977511
Stick,W5,1,0.093821239
Stick,W5,5,0.511567414
Stick,W5,10,0.795860765
Stick,W5,15,0.699523122
Stick,W5,20,0.643225253
Stick,W5,35,1.034463585
