Frequency (Hz),Distance (mm),Magnitude (m/s),Max Magnitude (m/s),Relative dB,fig
0.390625,0,8.61E-07,1.49E-05,-12.36795668,0.861
0.78125,0,7.35E-07,1.49E-05,-13.05762653,0.735
1.171875,0,7.85E-07,1.49E-05,-12.78452786,0.785
1.5625,0,6.54E-07,1.49E-05,-13.5775942,0.654
1.953125,0,9.40E-07,1.49E-05,-11.99903113,0.94
2.34375,0,7.20E-07,1.49E-05,-13.16144485,0.72
2.734375,0,7.45E-07,1.49E-05,-13.01195584,0.745
3.125,0,8.83E-07,1.49E-05,-12.27223253,0.883
3.515625,0,9.96E-07,1.49E-05,-11.74858172,0.996
3.90625,0,8.36E-07,1.49E-05,-12.51110403,0.836
4.296875,0,8.60E-07,1.49E-05,-12.3882156,0.86
4.6875,0,7.12E-07,1.49E-05,-13.2098408,0.712
5.078125,0,7.81E-07,1.49E-05,-12.80514605,0.781
5.46875,0,8.20E-07,1.49E-05,-12.59468342,0.82
5.859375,0,7.13E-07,1.49E-05,-13.20048074,0.713
6.25,0,7.99E-07,1.49E-05,-12.70695641,0.799
6.640625,0,7.19E-07,1.49E-05,-13.16315999,0.719
7.03125,0,9.50E-07,1.49E-05,-11.95265767,0.95
7.421875,0,8.06E-07,1.49E-05,-12.6668433,0.806
7.8125,0,9.30E-07,1.49E-05,-12.04658819,0.93
8.203125,0,8.14E-07,1.49E-05,-12.62576483,0.814
8.59375,0,8.49E-07,1.49E-05,-12.44313262,0.849
8.984375,0,1.01E-06,1.49E-05,-11.67474799,1.01
9.375,0,9.06E-07,1.49E-05,-12.15910024,0.906
9.765625,0,8.48E-07,1.49E-05,-12.44542253,0.848
10.15625,0,9.99E-07,1.49E-05,-11.73667994,0.999
10.546875,0,1.06E-06,1.49E-05,-11.48401049,1.06
10.9375,0,9.62E-07,1.49E-05,-11.89885757,0.962
11.328125,0,9.86E-07,1.49E-05,-11.79361551,0.986
11.71875,0,1.04E-06,1.49E-05,-11.56624227,1.04
12.109375,0,1.08E-06,1.49E-05,-11.39777794,1.08
12.5,0,1.23E-06,1.49E-05,-10.82213682,1.23
12.890625,0,9.75E-07,1.49E-05,-11.84041409,0.975
13.28125,0,1.23E-06,1.49E-05,-10.83483875,1.23
13.671875,0,1.31E-06,1.49E-05,-10.54919227,1.31
14.0625,0,1.26E-06,1.49E-05,-10.71749909,1.26
14.453125,0,1.13E-06,1.49E-05,-11.20817881,1.13
14.84375,0,1.35E-06,1.49E-05,-10.43292164,1.35
15.234375,0,1.33E-06,1.49E-05,-10.48482875,1.33
15.625,0,1.58E-06,1.49E-05,-9.752028601,1.58
16.015625,0,1.30E-06,1.49E-05,-10.60521287,1.3
16.40625,0,1.27E-06,1.49E-05,-10.69201002,1.27
16.796875,0,1.46E-06,1.49E-05,-10.07578747,1.46
17.1875,0,1.74E-06,1.49E-05,-9.31393077,1.74
17.578125,0,1.38E-06,1.49E-05,-10.32248543,1.38
17.96875,0,1.47E-06,1.49E-05,-10.06504591,1.47
18.359375,0,1.61E-06,1.49E-05,-9.675351143,1.61
18.75,0,1.47E-06,1.49E-05,-10.05865093,1.47
19.140625,0,1.42E-06,1.49E-05,-10.19428704,1.42
19.53125,0,1.62E-06,1.49E-05,-9.638680714,1.62
19.921875,0,1.09E-06,1.49E-05,-11.37354444,1.09
20.3125,0,2.06E-06,1.49E-05,-8.595816015,2.06
20.703125,0,1.16E-06,1.49E-05,-11.07600952,1.16
21.09375,0,5.03E-07,1.49E-05,-14.71609045,0.503
21.484375,0,3.46E-07,1.49E-05,-16.34683666,0.346
21.875,0,3.15E-07,1.49E-05,-16.74913355,0.315
22.265625,0,4.70E-07,1.49E-05,-15.0149462,0.47
22.65625,0,1.63E-06,1.49E-05,-9.607661256,1.63
23.046875,0,9.36E-07,1.49E-05,-12.0168215,0.936
23.4375,0,3.71E-07,1.49E-05,-16.03848883,0.371
23.828125,0,3.32E-07,1.49E-05,-16.51750298,0.332
24.21875,0,8.14E-07,1.49E-05,-12.62707755,0.814
24.609375,0,5.78E-07,1.49E-05,-14.11049523,0.578
25,0,6.07E-07,1.49E-05,-13.90322883,0.607
25.390625,0,2.50E-07,1.49E-05,-17.75066152,0.25
25.78125,0,2.51E-07,1.49E-05,-17.74071087,0.251
26.171875,0,2.37E-07,1.49E-05,-17.98188595,0.237
26.5625,0,1.39E-07,1.49E-05,-20.29092385,0.139
26.953125,0,4.13E-07,1.49E-05,-15.57574215,0.413
27.34375,0,6.23E-07,1.49E-05,-13.79034843,0.623
27.734375,0,4.26E-07,1.49E-05,-15.43794408,0.426
28.125,0,6.95E-07,1.49E-05,-13.31172408,0.695
28.515625,0,8.55E-07,1.49E-05,-12.4146546,0.855
28.90625,0,2.64E-06,1.49E-05,-7.510228899,2.64
29.296875,0,1.27E-06,1.49E-05,-10.69278261,1.27
29.6875,0,1.40E-07,1.49E-05,-20.28114853,0.14
30.078125,0,3.72E-07,1.49E-05,-16.03199745,0.372
30.46875,0,5.85E-07,1.49E-05,-14.06336892,0.585
30.859375,0,4.90E-07,1.49E-05,-14.83375552,0.49
31.25,0,4.13E-07,1.49E-05,-15.56945978,0.413
31.640625,0,3.96E-07,1.49E-05,-15.76039671,0.396
32.03125,0,3.19E-07,1.49E-05,-16.69073728,0.319
32.421875,0,2.10E-07,1.49E-05,-18.51325104,0.21
32.8125,0,4.17E-07,1.49E-05,-15.52849464,0.417
33.203125,0,1.11E-07,1.49E-05,-21.2847878,0.111
33.59375,0,7.94E-07,1.49E-05,-12.7312943,0.794
33.984375,0,6.33E-07,1.49E-05,-13.71621837,0.633
34.375,0,3.52E-07,1.49E-05,-16.26364611,0.352
34.765625,0,6.11E-07,1.49E-05,-13.87087985,0.611
35.15625,0,3.57E-07,1.49E-05,-16.20740853,0.357
35.546875,0,1.02E-07,1.49E-05,-21.64805002,0.102
35.9375,0,6.18E-07,1.49E-05,-13.81892559,0.618
36.328125,0,5.44E-07,1.49E-05,-14.37934384,0.544
36.71875,0,2.73E-07,1.49E-05,-17.37085031,0.273
37.109375,0,6.61E-07,1.49E-05,-13.52664955,0.661
37.5,0,2.00E-07,1.49E-05,-18.71939831,0.2
37.890625,0,3.36E-07,1.49E-05,-16.46325117,0.336
38.28125,0,7.01E-07,1.49E-05,-13.27581888,0.701
38.671875,0,9.42E-07,1.49E-05,-11.99288641,0.942
39.0625,0,2.24E-07,1.49E-05,-18.23387318,0.224
39.453125,0,8.86E-07,1.49E-05,-12.25902615,0.886
39.84375,0,2.56E-07,1.49E-05,-17.65769188,0.256
40.234375,0,6.87E-07,1.49E-05,-13.36070825,0.687
40.625,0,8.46E-07,1.49E-05,-12.46007992,0.846
41.015625,0,5.35E-07,1.49E-05,-14.44949884,0.535
41.40625,0,8.39E-07,1.49E-05,-12.49403189,0.839
41.796875,0,1.23E-06,1.49E-05,-10.8376692,1.23
42.1875,0,6.45E-07,1.49E-05,-13.63636384,0.645
42.578125,0,9.48E-07,1.49E-05,-11.96309356,0.948
42.96875,0,1.10E-06,1.49E-05,-11.31961016,1.1
43.359375,0,2.73E-07,1.49E-05,-17.37498901,0.273
43.75,0,1.57E-06,1.49E-05,-9.771126564,1.57
44.140625,0,1.81E-06,1.49E-05,-9.160097017,1.81
44.53125,0,4.29E-07,1.49E-05,-15.41172912,0.429
44.921875,0,1.72E-06,1.49E-05,-9.38770484,1.72
45.3125,0,1.87E-06,1.49E-05,-9.018482244,1.87
45.703125,0,1.28E-06,1.49E-05,-10.6569749,1.28
46.09375,0,1.14E-06,1.49E-05,-11.14691916,1.14
46.484375,0,2.44E-06,1.49E-05,-7.853182695,2.44
46.875,0,5.84E-07,1.49E-05,-14.06430509,0.584
47.265625,0,2.14E-06,1.49E-05,-8.425466801,2.14
47.65625,0,1.47E-06,1.49E-05,-10.06400457,1.47
48.046875,0,1.73E-06,1.49E-05,-9.362297776,1.73
48.4375,0,1.82E-06,1.49E-05,-9.122783573,1.82
48.828125,0,1.64E-06,1.49E-05,-9.578538492,1.64
49.21875,0,1.64E-06,1.49E-05,-9.573412553,1.64
49.609375,0,6.61E-07,1.49E-05,-13.52825312,0.661
50,0,2.45E-06,1.49E-05,-7.846969697,2.45
50.390625,0,1.17E-06,1.49E-05,-11.05724835,1.17
50.78125,0,1.31E-06,1.49E-05,-10.55986256,1.31
51.171875,0,7.14E-07,1.49E-05,-13.19419086,0.714
51.5625,0,1.84E-06,1.49E-05,-9.081282337,1.84
51.953125,0,3.12E-07,1.49E-05,-16.78971824,0.312
52.34375,0,1.09E-06,1.49E-05,-11.37685288,1.09
