Frequency (Hz),Distance (mm),Magnitude (m/s),Max Magnitude (m/s),Relative dB,fig
0.390625,0,1.19E-08,4.79E-06,-26.036701,0.0119
0.78125,0,6.72E-08,4.79E-06,-18.53178661,0.0672
1.171875,0,7.40E-08,4.79E-06,-18.11119816,0.074
1.5625,0,9.04E-08,4.79E-06,-17.24084027,0.0904
1.953125,0,9.64E-08,4.79E-06,-16.96204016,0.0964
2.34375,0,2.53E-08,4.79E-06,-22.77532847,0.0253
2.734375,0,5.23E-08,4.79E-06,-19.61975097,0.0523
3.125,0,7.51E-08,4.79E-06,-18.04662557,0.0751
3.515625,0,9.26E-08,4.79E-06,-17.13761767,0.0926
3.90625,0,7.16E-08,4.79E-06,-18.25527013,0.0716
4.296875,0,7.98E-08,4.79E-06,-17.78460371,0.0798
4.6875,0,1.15E-07,4.79E-06,-16.19243588,0.115
5.078125,0,6.57E-08,4.79E-06,-18.63085105,0.0657
5.46875,0,3.83E-08,4.79E-06,-20.96961356,0.0383
5.859375,0,1.12E-07,4.79E-06,-16.30974042,0.112
6.25,0,1.33E-07,4.79E-06,-15.57091984,0.133
6.640625,0,2.60E-07,4.79E-06,-12.65559146,0.26
7.03125,0,4.40E-08,4.79E-06,-20.36994583,0.044
7.421875,0,5.57E-08,4.79E-06,-19.34739959,0.0557
7.8125,0,5.34E-08,4.79E-06,-19.52527174,0.0534
8.203125,0,5.12E-08,4.79E-06,-19.71289968,0.0512
8.59375,0,5.44E-08,4.79E-06,-19.44354698,0.0544
8.984375,0,7.12E-08,4.79E-06,-18.27569724,0.0712
9.375,0,4.87E-08,4.79E-06,-19.92833395,0.0487
9.765625,0,2.42E-08,4.79E-06,-22.9679876,0.0242
10.15625,0,6.55E-08,4.79E-06,-18.64403236,0.0655
10.546875,0,8.99E-08,4.79E-06,-17.26396441,0.0899
10.9375,0,7.89E-08,4.79E-06,-17.83270125,0.0789
11.328125,0,3.38E-08,4.79E-06,-21.51513777,0.0338
11.71875,0,5.20E-08,4.79E-06,-19.64748039,0.052
12.109375,0,5.10E-08,4.79E-06,-19.72711522,0.051
12.5,0,6.97E-08,4.79E-06,-18.36982122,0.0697
12.890625,0,9.40E-08,4.79E-06,-17.07055545,0.094
13.28125,0,4.72E-08,4.79E-06,-20.06256899,0.0472
13.671875,0,4.35E-08,4.79E-06,-20.41960885,0.0435
14.0625,0,4.70E-08,4.79E-06,-20.08127525,0.047
14.453125,0,5.59E-08,4.79E-06,-19.33217167,0.0559
14.84375,0,4.49E-08,4.79E-06,-20.28373443,0.0449
15.234375,0,4.11E-08,4.79E-06,-20.66403778,0.0411
15.625,0,7.51E-08,4.79E-06,-18.04465363,0.0751
16.015625,0,7.25E-08,4.79E-06,-18.19984209,0.0725
16.40625,0,5.90E-08,4.79E-06,-19.09734508,0.059
16.796875,0,4.60E-08,4.79E-06,-20.17369553,0.046
17.1875,0,4.34E-08,4.79E-06,-20.42683804,0.0434
17.578125,0,4.92E-08,4.79E-06,-19.88247907,0.0492
17.96875,0,5.80E-08,4.79E-06,-19.16949753,0.058
18.359375,0,4.38E-08,4.79E-06,-20.38500632,0.0438
18.75,0,5.27E-08,4.79E-06,-19.58405092,0.0527
19.140625,0,8.24E-08,4.79E-06,-17.64243154,0.0824
19.53125,0,9.74E-08,4.79E-06,-16.91627789,0.0974
19.921875,0,6.51E-08,4.79E-06,-18.66613719,0.0651
20.3125,0,1.56E-08,4.79E-06,-24.85876954,0.0156
20.703125,0,1.07E-07,4.79E-06,-16.50428868,0.107
21.09375,0,1.85E-07,4.79E-06,-14.1335703,0.185
21.484375,0,1.15E-07,4.79E-06,-16.20117172,0.115
21.875,0,1.03E-07,4.79E-06,-16.66655395,0.103
22.265625,0,1.83E-07,4.79E-06,-14.16894033,0.183
22.65625,0,1.37E-07,4.79E-06,-15.45117284,0.137
23.046875,0,4.38E-07,4.79E-06,-10.38465562,0.438
23.4375,0,5.85E-07,4.79E-06,-9.132463928,0.585
23.828125,0,6.43E-07,4.79E-06,-8.719788095,0.643
24.21875,0,1.96E-07,4.79E-06,-13.87329602,0.196
24.609375,0,4.98E-07,4.79E-06,-9.826730515,0.498
25,0,3.84E-07,4.79E-06,-10.96346997,0.384
25.390625,0,2.30E-07,4.79E-06,-13.19165443,0.23
25.78125,0,3.85E-07,4.79E-06,-10.94759739,0.385
26.171875,0,1.81E-07,4.79E-06,-14.23374477,0.181
26.5625,0,2.68E-07,4.79E-06,-12.52943706,0.268
26.953125,0,2.37E-07,4.79E-06,-13.05497752,0.237
27.34375,0,1.58E-07,4.79E-06,-14.82495834,0.158
27.734375,0,2.55E-07,4.79E-06,-12.73319062,0.255
28.125,0,3.43E-07,4.79E-06,-11.45286465,0.343
28.515625,0,5.23E-07,4.79E-06,-9.616880324,0.523
28.90625,0,1.91E-06,4.79E-06,-3.986391597,1.91
29.296875,0,1.15E-06,4.79E-06,-6.187352787,1.15
29.6875,0,7.74E-07,4.79E-06,-7.916203082,0.774
30.078125,0,1.74E-07,4.79E-06,-14.39322766,0.174
30.46875,0,3.77E-07,4.79E-06,-11.04344505,0.377
30.859375,0,3.03E-07,4.79E-06,-11.98953088,0.303
31.25,0,1.92E-07,4.79E-06,-13.97532878,0.192
31.640625,0,1.66E-07,4.79E-06,-14.61518884,0.166
32.03125,0,1.86E-07,4.79E-06,-14.10627414,0.186
32.421875,0,1.12E-07,4.79E-06,-16.29902005,0.112
32.8125,0,3.99E-07,4.79E-06,-10.79766732,0.399
33.203125,0,2.64E-07,4.79E-06,-12.59144856,0.264
33.59375,0,3.66E-07,4.79E-06,-11.17393596,0.366
33.984375,0,2.91E-07,4.79E-06,-12.17013601,0.291
34.375,0,1.49E-07,4.79E-06,-15.0675477,0.149
34.765625,0,1.02E-07,4.79E-06,-16.72721287,0.102
35.15625,0,1.36E-07,4.79E-06,-15.46145651,0.136
35.546875,0,1.27E-07,4.79E-06,-15.77387203,0.127
35.9375,0,6.45E-08,4.79E-06,-18.70602318,0.0645
36.328125,0,1.86E-08,4.79E-06,-24.1082327,0.0186
36.71875,0,1.30E-07,4.79E-06,-15.65870986,0.13
37.109375,0,3.72E-08,4.79E-06,-21.09268118,0.0372
37.5,0,1.03E-07,4.79E-06,-16.68649217,0.103
37.890625,0,4.09E-08,4.79E-06,-20.68704383,0.0409
38.28125,0,9.50E-08,4.79E-06,-17.02565784,0.095
38.671875,0,2.82E-08,4.79E-06,-22.29697716,0.0282
39.0625,0,1.31E-07,4.79E-06,-15.62777877,0.131
39.453125,0,8.92E-08,4.79E-06,-17.29794445,0.0892
39.84375,0,2.34E-07,4.79E-06,-13.11833859,0.234
40.234375,0,2.95E-07,4.79E-06,-12.09792725,0.295
