Frequency (Hz),Distance (mm),Magnitude (m/s),Max Magnitude (m/s),Relative dB,fig
0.390625,0,1.24E-06,5.03E-06,-6.07966172,1.24
0.78125,0,6.47E-07,5.03E-06,-8.909648124,0.647
1.171875,0,7.70E-07,5.03E-06,-8.152757835,0.77
1.5625,0,1.09E-06,5.03E-06,-6.638196707,1.09
1.953125,0,1.15E-06,5.03E-06,-6.424621994,1.15
2.34375,0,1.06E-06,5.03E-06,-6.779949657,1.06
2.734375,0,4.16E-07,5.03E-06,-10.82064774,0.416
3.125,0,8.23E-07,5.03E-06,-7.859801194,0.823
3.515625,0,1.09E-06,5.03E-06,-6.646541774,1.09
3.90625,0,9.61E-07,5.03E-06,-7.189747245,0.961
4.296875,0,3.55E-07,5.03E-06,-11.51751245,0.355
4.6875,0,3.55E-07,5.03E-06,-11.51316511,0.355
5.078125,0,7.77E-07,5.03E-06,-8.112561405,0.777
5.46875,0,1.01E-06,5.03E-06,-6.965424214,1.01
5.859375,0,9.34E-07,5.03E-06,-7.312347796,0.934
6.25,0,3.59E-07,5.03E-06,-11.46650436,0.359
6.640625,0,7.70E-07,5.03E-06,-8.152013053,0.77
7.03125,0,7.99E-07,5.03E-06,-7.990304461,0.799
7.421875,0,8.45E-07,5.03E-06,-7.748260067,0.845
7.8125,0,5.76E-08,5.03E-06,-19.41504244,0.0576
8.203125,0,3.23E-07,5.03E-06,-11.92343412,0.323
8.59375,0,7.02E-07,5.03E-06,-8.555377095,0.702
8.984375,0,8.76E-07,5.03E-06,-7.591823345,0.876
9.375,0,7.92E-07,5.03E-06,-8.03036689,0.792
9.765625,0,2.16E-07,5.03E-06,-13.66806115,0.216
10.15625,0,4.22E-07,5.03E-06,-10.76234437,0.422
10.546875,0,5.75E-07,5.03E-06,-9.419990197,0.575
10.9375,0,6.68E-07,5.03E-06,-8.770255065,0.668
11.328125,0,7.18E-07,5.03E-06,-8.456894889,0.718
11.71875,0,2.60E-07,5.03E-06,-12.86325792,0.26
12.109375,0,5.71E-07,5.03E-06,-9.446843007,0.571
12.5,0,6.27E-07,5.03E-06,-9.044419073,0.627
12.890625,0,3.00E-07,5.03E-06,-12.23832638,0.3
13.28125,0,2.63E-07,5.03E-06,-12.8217884,0.263
13.671875,0,2.56E-07,5.03E-06,-12.93003438,0.256
14.0625,0,6.05E-07,5.03E-06,-9.196423716,0.605
14.453125,0,8.21E-07,5.03E-06,-7.871392999,0.821
14.84375,0,6.62E-07,5.03E-06,-8.810251374,0.662
15.234375,0,1.98E-07,5.03E-06,-14.04440452,0.198
15.625,0,5.56E-07,5.03E-06,-9.562359736,0.556
16.015625,0,7.01E-07,5.03E-06,-8.559427215,0.701
16.40625,0,6.54E-07,5.03E-06,-8.861891015,0.654
16.796875,0,3.17E-07,5.03E-06,-12.00951874,0.317
17.1875,0,3.80E-07,5.03E-06,-11.21248366,0.38
17.578125,0,7.25E-07,5.03E-06,-8.410013302,0.725
17.96875,0,7.05E-07,5.03E-06,-8.531735354,0.705
18.359375,0,6.15E-07,5.03E-06,-9.124451449,0.615
18.75,0,3.16E-07,5.03E-06,-12.0167892,0.316
19.140625,0,5.55E-07,5.03E-06,-9.570891167,0.555
19.53125,0,5.90E-07,5.03E-06,-9.308331751,0.59
19.921875,0,8.66E-07,5.03E-06,-7.638761092,0.866
20.3125,0,4.05E-07,5.03E-06,-10.93638821,0.405
20.703125,0,3.01E-07,5.03E-06,-12.22495204,0.301
21.09375,0,2.75E-07,5.03E-06,-12.62054347,0.275
21.484375,0,5.40E-07,5.03E-06,-9.694921808,0.54
21.875,0,7.33E-07,5.03E-06,-8.367223532,0.733
22.265625,0,1.10E-07,5.03E-06,-16.58267417,0.11
22.65625,0,4.71E-07,5.03E-06,-10.28703212,0.471
23.046875,0,7.40E-07,5.03E-06,-8.325069061,0.74
23.4375,0,5.75E-07,5.03E-06,-9.420741952,0.575
23.828125,0,5.95E-07,5.03E-06,-9.273209497,0.595
24.21875,0,7.46E-07,5.03E-06,-8.286584424,0.746
24.609375,0,3.45E-07,5.03E-06,-11.64306403,0.345
25,0,4.17E-07,5.03E-06,-10.81374861,0.417
25.390625,0,2.36E-07,5.03E-06,-13.29084783,0.236
25.78125,0,5.01E-07,5.03E-06,-10.01460491,0.501
26.171875,0,3.10E-07,5.03E-06,-12.10633371,0.31
26.5625,0,2.34E-07,5.03E-06,-13.32467769,0.234
26.953125,0,3.83E-07,5.03E-06,-11.18740164,0.383
27.34375,0,7.67E-07,5.03E-06,-8.169891995,0.767
27.734375,0,5.17E-07,5.03E-06,-9.882661532,0.517
28.125,0,7.67E-07,5.03E-06,-8.168176949,0.767
28.515625,0,9.69E-07,5.03E-06,-7.150813669,0.969
28.90625,0,2.46E-07,5.03E-06,-13.10213615,0.246
29.296875,0,1.46E-06,5.03E-06,-5.385059484,1.46
29.6875,0,1.88E-07,5.03E-06,-14.28250893,0.188
30.078125,0,3.09E-07,5.03E-06,-12.11503686,0.309
30.46875,0,5.54E-07,5.03E-06,-9.582769905,0.554
30.859375,0,3.71E-07,5.03E-06,-11.32534972,0.371
31.25,0,3.42E-07,5.03E-06,-11.67926057,0.342
31.640625,0,7.94E-07,5.03E-06,-8.015731435,0.794
32.03125,0,6.76E-07,5.03E-06,-8.717228077,0.676
32.421875,0,6.36E-07,5.03E-06,-8.977948235,0.636
32.8125,0,3.61E-07,5.03E-06,-11.44641875,0.361
33.203125,0,3.00E-07,5.03E-06,-12.24933123,0.3
33.59375,0,3.68E-07,5.03E-06,-11.35397044,0.368
33.984375,0,6.37E-07,5.03E-06,-8.97701419,0.637
34.375,0,1.16E-07,5.03E-06,-16.38642461,0.116
34.765625,0,1.84E-07,5.03E-06,-14.36334005,0.184
35.15625,0,5.34E-07,5.03E-06,-9.737693181,0.534
35.546875,0,6.34E-08,5.03E-06,-18.99593961,0.0634
35.9375,0,4.26E-07,5.03E-06,-10.71880465,0.426
36.328125,0,6.15E-07,5.03E-06,-9.129942966,0.615
36.71875,0,3.06E-07,5.03E-06,-12.15877074,0.306
37.109375,0,3.28E-07,5.03E-06,-11.8523943,0.328
