Frequency (Hz),Distance (mm),Magnitude (m/s),Max Magnitude (m/s),Relative dB,fig
0.390625,0,5.79E-07,8.40E-05,-21.61612029,0.579
0.78125,0,4.58E-07,8.40E-05,-22.63526397,0.458
1.171875,0,4.15E-07,8.40E-05,-23.06288541,0.415
1.5625,0,5.65E-07,8.40E-05,-21.7260957,0.565
1.953125,0,6.17E-07,8.40E-05,-21.33888482,0.617
2.34375,0,4.96E-07,8.40E-05,-22.29014461,0.496
2.734375,0,4.25E-07,8.40E-05,-22.96001447,0.425
3.125,0,6.37E-07,8.40E-05,-21.19897207,0.637
3.515625,0,6.39E-07,8.40E-05,-21.18767282,0.639
3.90625,0,7.19E-07,8.40E-05,-20.67635813,0.719
4.296875,0,5.57E-07,8.40E-05,-21.78777362,0.557
4.6875,0,5.83E-07,8.40E-05,-21.58658931,0.583
5.078125,0,6.79E-07,8.40E-05,-20.92385079,0.679
5.46875,0,7.51E-07,8.40E-05,-20.48843186,0.751
5.859375,0,7.23E-07,8.40E-05,-20.65104529,0.723
6.25,0,4.97E-07,8.40E-05,-22.28077418,0.497
6.640625,0,6.06E-07,8.40E-05,-21.41897687,0.606
7.03125,0,7.34E-07,8.40E-05,-20.58569204,0.734
7.421875,0,6.90E-07,8.40E-05,-20.85350834,0.69
7.8125,0,4.74E-07,8.40E-05,-22.48562611,0.474
8.203125,0,4.03E-07,8.40E-05,-23.18956136,0.403
8.59375,0,6.90E-07,8.40E-05,-20.85737142,0.69
8.984375,0,6.55E-07,8.40E-05,-21.08033212,0.655
9.375,0,6.95E-07,8.40E-05,-20.82468797,0.695
9.765625,0,4.94E-07,8.40E-05,-22.30421365,0.494
10.15625,0,5.78E-07,8.40E-05,-21.62162593,0.578
10.546875,0,7.31E-07,8.40E-05,-20.60490791,0.731
10.9375,0,7.59E-07,8.40E-05,-20.43788792,0.759
11.328125,0,5.48E-07,8.40E-05,-21.85803078,0.548
11.71875,0,5.03E-07,8.40E-05,-22.23111243,0.503
12.109375,0,8.35E-07,8.40E-05,-20.02453755,0.835
12.5,0,6.26E-07,8.40E-05,-21.27802507,0.626
12.890625,0,6.02E-07,8.40E-05,-21.44962146,0.602
13.28125,0,3.97E-07,8.40E-05,-23.25206962,0.397
13.671875,0,8.09E-07,8.40E-05,-20.16516493,0.809
14.0625,0,9.95E-07,8.40E-05,-19.26305429,0.995
14.453125,0,1.14E-06,8.40E-05,-18.67291393,1.14
14.84375,0,5.24E-07,8.40E-05,-22.05086846,0.524
15.234375,0,4.72E-07,8.40E-05,-22.50678232,0.472
15.625,0,7.73E-07,8.40E-05,-20.36224649,0.773
16.015625,0,1.91E-06,8.40E-05,-16.43028826,1.91
16.40625,0,2.10E-06,8.40E-05,-16.02600921,2.1
16.796875,0,1.06E-06,8.40E-05,-19.00763037,1.06
17.1875,0,6.26E-07,8.40E-05,-21.27663052,0.626
17.578125,0,6.96E-07,8.40E-05,-20.81523996,0.696
17.96875,0,7.29E-07,8.40E-05,-20.61675213,0.729
18.359375,0,7.34E-07,8.40E-05,-20.58551631,0.734
18.75,0,7.46E-07,8.40E-05,-20.51757835,0.746
19.140625,0,1.09E-06,8.40E-05,-18.8693328,1.09
19.53125,0,6.16E-07,8.40E-05,-21.34866896,0.616
19.921875,0,7.57E-07,8.40E-05,-20.45007888,0.757
20.3125,0,3.80E-07,8.40E-05,-23.44233934,0.38
20.703125,0,1.28E-06,8.40E-05,-18.18576692,1.28
21.09375,0,1.47E-06,8.40E-05,-17.58115692,1.47
21.484375,0,6.04E-07,8.40E-05,-21.43358702,0.604
21.875,0,9.69E-07,8.40E-05,-19.38029646,0.969
22.265625,0,8.29E-07,8.40E-05,-20.05570606,0.829
22.65625,0,1.24E-06,8.40E-05,-18.32021598,1.24
23.046875,0,1.27E-06,8.40E-05,-18.18908098,1.27
23.4375,0,7.12E-07,8.40E-05,-20.71600185,0.712
