Source File Name:	SigPro_Rock
Signal:	FFT - Usr FFT / Vib / Velocity - Magnitude

Frequency	Magnitude	Magnitude	Magnitude
[ Hz ]	[ m/s ]	[ m/s ]	[ m/s ]
0.390625	5.792281e-7	4.240401e-7	1.099877e-6
0.78125	4.580737e-7	3.935475e-7	9.778885e-7
1.171875	4.149452e-7	8.47372e-8	9.542229e-7
1.5625	5.645075e-7	4.291454e-7	1.266487e-6
1.953125	6.171501e-7	7.753527e-7	1.30391e-6
2.34375	4.957524e-7	7.147625e-7	1.063667e-6
2.734375	4.248913e-7	2.666427e-7	8.99502e-7
3.125	6.37356e-7	2.836593e-7	1.119036e-6
3.515625	6.390164e-7	4.459056e-7	1.246182e-6
3.90625	7.188586e-7	6.570621e-7	1.061556e-6
4.296875	5.565471e-7	2.512425e-7	1.005092e-6
4.6875	5.829353e-7	5.012116e-7	9.260484e-7
5.078125	6.790382e-7	3.817734e-7	9.697409e-7
5.46875	7.506476e-7	4.378128e-7	1.12248e-6
5.859375	7.230607e-7	7.247023e-7	8.577164e-7
6.25	4.968232e-7	2.768557e-7	7.1404e-7
6.640625	6.05873e-7	2.015349e-7	1.048972e-6
7.03125	7.340237e-7	2.746661e-8	9.053717e-7
7.421875	6.901261e-7	6.474335e-7	9.866955e-7
7.8125	4.739327e-7	5.402154e-7	7.050956e-7
8.203125	4.030168e-7	4.944794e-7	8.001549e-7
8.59375	6.895125e-7	7.592132e-7	8.99148e-7
8.984375	6.550072e-7	1.704816e-7	8.465233e-7
9.375	6.947211e-7	3.081805e-7	7.683656e-7
9.765625	4.94149e-7	3.565117e-7	6.298699e-7
10.15625	5.782514e-7	6.761167e-7	5.782373e-7
10.546875	7.307831e-7	4.0313e-7	4.951563e-7
10.9375	7.594348e-7	1.690223e-7	7.364567e-7
11.328125	5.476161e-7	1.981656e-7	5.389954e-7
11.71875	5.02537e-7	1.37654e-7	3.617788e-7
12.109375	8.352674e-7	2.211751e-7	3.236099e-7
12.5	6.258594e-7	3.152938e-7	2.083275e-7
12.890625	6.016129e-7	7.740238e-8	1.956259e-7
13.28125	3.972577e-7	1.339918e-7	2.60069e-7
13.671875	8.086541e-7	2.48648e-7	5.899104e-7
14.0625	9.953455e-7	3.076046e-7	2.906396e-7
14.453125	1.140218e-6	3.077132e-7	1.118785e-7
14.84375	5.238325e-7	4.007018e-7	5.714863e-7
15.234375	4.716296e-7	1.103626e-7	4.699079e-7
15.625	7.727778e-7	6.917685e-7	5.407627e-7
16.015625	1.910955e-6	8.669966e-7	1.145628e-6
16.40625	2.097386e-6	1.137057e-6	1.538033e-6
16.796875	1.055641e-6	7.071252e-7	1.058629e-6
17.1875	6.260604e-7	4.024428e-7	6.575224e-7
17.578125	6.962341e-7	1.705103e-7	9.532536e-7
17.96875	7.287928e-7	3.528208e-7	1.111175e-6
18.359375	7.340534e-7	6.115888e-7	8.423524e-7
18.75	7.456267e-7	3.944377e-7	5.636004e-7
19.140625	1.089798e-6	7.338443e-7	8.977489e-7
19.53125	6.157613e-7	4.485207e-7	7.848529e-7
19.921875	7.57306e-7	4.208192e-7	9.041461e-7
20.3125	3.802291e-7	5.005864e-7	8.213931e-7
20.703125	1.275565e-6	7.021666e-7	9.948204e-7
21.09375	1.4661e-6	7.035279e-7	1.384349e-6
21.484375	6.038382e-7	9.194482e-7	5.711124e-7
21.875	9.688346e-7	5.981224e-9	5.535994e-7
22.265625	8.292943e-7	2.587585e-7	1.030249e-6
22.65625	1.236681e-6	8.629168e-7	6.722025e-7
23.046875	1.274592e-6	1.221323e-6	2.758034e-6
23.4375	7.123265e-7	1.990624e-6	7.737386e-7
23.828125	1.68759e-6	9.117335e-7	6.196373e-7
24.21875	5.889124e-7	5.251088e-7	4.558945e-7
24.609375	9.163291e-7	5.528163e-7	8.987714e-7
25	6.144653e-7	1.990189e-7	8.393399e-7
25.390625	5.473224e-7	5.814315e-7	1.172804e-6
25.78125	8.88246e-7	3.327334e-7	3.928354e-7
26.171875	1.145434e-6	4.572152e-7	9.698113e-7
26.5625	7.598192e-7	1.181832e-6	7.861761e-7
26.953125	2.929763e-7	1.844308e-6	1.609318e-6
27.34375	1.386058e-7	2.073313e-6	1.425624e-6
27.734375	1.215731e-6	6.715543e-7	8.4274e-8
28.125	5.614824e-7	1.279787e-7	7.549491e-7
28.515625	1.294386e-6	1.717093e-6	2.117169e-6
28.90625	2.284817e-6	2.65961e-6	1.948746e-6
29.296875	1.054863e-6	2.246087e-6	1.949647e-6
29.6875	7.564274e-7	6.28437e-7	8.450943e-7
30.078125	6.838851e-7	1.309148e-6	1.638079e-6
30.46875	5.646999e-7	2.261354e-6	1.326922e-6
30.859375	4.426961e-7	2.066169e-6	8.496484e-7
31.25	6.482636e-7	1.13082e-6	1.766805e-6
31.640625	1.437242e-6	2.137676e-6	1.021884e-6
32.03125	2.134095e-6	1.708707e-6	1.207975e-6
32.421875	1.713755e-6	2.017479e-6	1.260684e-6
32.8125	9.413202e-7	1.488097e-6	1.199841e-6
33.203125	6.900715e-7	2.22863e-6	3.79147e-7
33.59375	7.34035e-7	3.519922e-6	1.407918e-6
33.984375	7.950005e-7	2.12168e-6	1.947224e-6
34.375	1.003825e-6	1.550116e-6	1.668947e-6
34.765625	9.512488e-7	1.451873e-6	1.302372e-6
35.15625	1.689563e-6	3.86022e-6	1.810046e-6
35.546875	2.927064e-6	3.693903e-6	2.424854e-6
35.9375	2.546042e-6	2.00036e-6	2.412098e-6
36.328125	2.03728e-6	2.555657e-6	1.908378e-6
36.71875	1.321506e-6	2.530978e-6	9.941695e-7
37.109375	2.435241e-6	3.349056e-6	2.081438e-6
37.5	2.761153e-6	2.249791e-6	2.894059e-6
37.890625	2.281328e-6	1.931574e-6	3.316261e-6
38.28125	1.762772e-6	7.385461e-7	2.493071e-6
38.671875	3.612126e-6	3.930622e-6	1.705641e-6
39.0625	4.061899e-6	3.957265e-6	2.835618e-6
39.453125	4.089666e-6	8.264583e-7	3.240151e-6
39.84375	3.217536e-6	2.474827e-6	3.128176e-6
40.234375	2.076936e-6	1.048504e-6	5.428008e-7
40.625	4.24705e-6	3.065469e-6	3.618145e-6
41.015625	4.39088e-6	8.939361e-7	4.50895e-6
41.40625	2.896845e-6	3.190225e-6	4.92559e-6
41.796875	2.176649e-6	1.640478e-6	3.235464e-6
42.1875	3.24517e-6	2.178483e-6	3.065386e-6
42.578125	4.060578e-6	1.471952e-6	5.597075e-6
42.96875	3.639415e-6	5.572433e-6	6.447032e-6
43.359375	3.872304e-6	6.496477e-6	5.975373e-6
43.75	2.34713e-6	4.265271e-6	2.256246e-6
44.140625	3.974264e-6	5.566982e-6	5.549845e-6
44.53125	4.927987e-6	5.616768e-6	8.624563e-6
44.921875	4.916862e-6	7.43051e-6	8.482531e-6
45.3125	3.220183e-6	7.187122e-6	6.125689e-6
45.703125	2.70174e-6	5.490368e-6	4.589819e-6
46.09375	4.098853e-6	7.010852e-6	9.120536e-6
46.484375	4.83124e-6	9.901172e-6	1.119222e-5
46.875	4.171091e-6	9.553499e-6	9.782214e-6
47.265625	2.315767e-6	5.410081e-6	5.137709e-6
47.65625	2.514065e-6	6.047295e-6	8.178747e-6
48.046875	3.29746e-6	8.781297e-6	1.187898e-5
48.4375	3.156373e-6	8.491487e-6	1.188952e-5
48.828125	1.806514e-6	5.849264e-6	8.331367e-6
49.21875	9.036353e-7	4.907016e-6	5.493449e-6
49.609375	2.03272e-6	7.801433e-6	1.040821e-5
50	3.806175e-6	8.273124e-6	1.266591e-5
50.390625	4.232647e-6	8.218959e-6	1.082324e-5
50.78125	3.129117e-6	6.894888e-6	6.217388e-6
51.171875	7.625059e-6	7.584135e-6	1.008724e-5
51.5625	1.155026e-5	1.277005e-5	1.592936e-5
51.953125	1.287052e-5	1.613897e-5	1.785923e-5
52.34375	1.098854e-5	1.344495e-5	1.446331e-5
52.734375	8.171309e-6	1.011114e-5	9.044855e-6
53.125	1.311612e-5	1.640812e-5	1.699928e-5
53.515625	1.477751e-5	1.825812e-5	2.026872e-5
53.90625	1.249659e-5	1.49447e-5	1.770132e-5
54.296875	7.320526e-6	1.013142e-5	1.0529e-5
54.6875	7.914018e-6	1.13402e-5	1.106093e-5
55.078125	1.150869e-5	1.473009e-5	1.653789e-5
55.46875	1.212611e-5	1.433728e-5	1.736058e-5
55.859375	8.989053e-6	1.170889e-5	1.321455e-5
56.25	4.795157e-6	7.86009e-6	6.014312e-6
56.640625	8.459882e-6	1.029631e-5	1.231793e-5
57.03125	1.136412e-5	1.234428e-5	1.611096e-5
57.421875	1.041368e-5	1.180129e-5	1.498811e-5
57.8125	6.14243e-6	8.855123e-6	9.373452e-6
58.203125	6.993322e-6	7.462547e-6	7.903815e-6
58.59375	1.071938e-5	1.032096e-5	1.409964e-5
58.984375	1.161397e-5	1.167052e-5	1.600556e-5
59.375	9.383439e-6	1.060151e-5	1.257404e-5
59.765625	5.304273e-6	7.461708e-6	4.961683e-6
60.15625	1.044115e-5	9.189907e-6	1.09401e-5
60.546875	1.301656e-5	1.19459e-5	1.580876e-5
60.9375	1.249059e-5	1.286576e-5	1.522846e-5
61.328125	8.87203e-6	1.050239e-5	9.992427e-6
61.71875	9.330055e-6	7.788739e-6	7.011319e-6
62.109375	1.285607e-5	1.17855e-5	1.386123e-5
62.5	1.408218e-5	1.42572e-5	1.647879e-5
62.890625	1.21489e-5	1.414354e-5	1.360886e-5
63.28125	8.440278e-6	1.049955e-5	7.447436e-6
63.671875	1.234264e-5	1.069846e-5	1.073365e-5
64.0625	1.522467e-5	1.514333e-5	1.611729e-5
64.453125	1.531234e-5	1.767722e-5	1.630675e-5
64.84375	1.256371e-5	1.522041e-5	1.232955e-5
