Source File Name:	SigPro_Rock
Signal:	FFT - Usr FFT / Vib / Velocity - Magnitude

Frequency	Magnitude	Magnitude	Magnitude
[ Hz ]	[ m/s ]	[ m/s ]	[ m/s ]
0.390625	8.61409e-7	7.712301e-8	2.242727e-7
0.78125	7.349225e-7	1.258336e-7	8.717724e-8
1.171875	7.847539e-7	5.133501e-8	1.437743e-7
1.5625	6.537728e-7	1.460018e-7	2.369786e-8
1.953125	9.403362e-7	1.230821e-7	3.049323e-8
2.34375	7.195182e-7	4.224375e-8	9.43109e-8
2.734375	7.44716e-7	1.927734e-8	1.596667e-7
3.125	8.830047e-7	8.383842e-8	1.517936e-7
3.515625	9.961577e-7	7.603007e-8	1.231492e-7
3.90625	8.35749e-7	1.072476e-7	8.080516e-8
4.296875	8.597352e-7	4.232414e-8	1.725099e-7
4.6875	7.115447e-7	7.946944e-8	1.784996e-7
5.078125	7.810371e-7	1.406872e-7	1.000538e-7
5.46875	8.198189e-7	3.682864e-8	1.47183e-7
5.859375	7.130799e-7	8.187213e-8	4.467126e-8
6.25	7.988967e-7	8.748845e-8	1.728284e-7
6.640625	7.192341e-7	8.691695e-9	5.412346e-8
7.03125	9.504308e-7	8.163181e-8	6.353454e-8
7.421875	8.063098e-7	9.080263e-8	1.053798e-7
7.8125	9.300953e-7	8.275687e-8	7.640074e-8
8.203125	8.139726e-7	1.878507e-8	2.230562e-8
8.59375	8.489322e-7	2.535945e-8	4.004327e-8
8.984375	1.013238e-6	5.200879e-8	9.787499e-8
9.375	9.063089e-7	4.184839e-8	2.643681e-8
9.765625	8.484847e-7	8.037746e-8	7.638079e-8
10.15625	9.988914e-7	1.229181e-7	1.075332e-7
10.546875	1.05873e-6	7.749396e-8	1.23681e-7
10.9375	9.622779e-7	1.343301e-7	8.321635e-8
11.328125	9.858815e-7	7.062707e-8	9.040683e-8
11.71875	1.038872e-6	7.980727e-8	1.109727e-7
12.109375	1.079962e-6	9.133437e-8	1.229785e-7
12.5	1.233027e-6	9.848599e-8	1.489667e-7
12.890625	9.753149e-7	9.459052e-8	1.016282e-7
13.28125	1.229426e-6	5.524467e-8	6.698139e-8
13.671875	1.313007e-6	9.012618e-8	4.316919e-8
14.0625	1.263096e-6	1.018374e-7	7.028191e-8
14.453125	1.128154e-6	8.55745e-8	1.587197e-7
14.84375	1.348634e-6	6.420327e-8	1.916458e-7
15.234375	1.332611e-6	9.068183e-8	6.551421e-8
15.625	1.577551e-6	9.501103e-8	5.047155e-8
16.015625	1.296179e-6	1.460301e-7	1.433297e-7
16.40625	1.270531e-6	1.684434e-7	2.736511e-7
16.796875	1.464224e-6	1.121992e-7	1.421941e-7
17.1875	1.744991e-6	1.986845e-8	5.491689e-8
17.578125	1.383368e-6	1.14711e-7	7.904575e-8
17.96875	1.46785e-6	1.172313e-7	2.344186e-7
18.359375	1.605651e-6	1.135459e-7	1.46051e-7
18.75	1.470013e-6	1.079826e-7	7.234767e-8
19.140625	1.424812e-6	2.343725e-7	2.463521e-7
19.53125	1.619266e-6	1.361283e-7	9.345641e-8
19.921875	1.086005e-6	3.52244e-7	1.995194e-7
20.3125	2.058755e-6	8.533723e-7	1.188735e-6
20.703125	1.163015e-6	4.199995e-7	1.507343e-7
21.09375	5.030107e-7	6.64318e-7	7.520632e-7
21.484375	3.455434e-7	4.648147e-7	1.082607e-7
