Source File Name:	SigPro_Rock
Signal:	FFT - Usr FFT / Vib / Velocity - Magnitude

Frequency	Magnitude	Magnitude	Magnitude
[ Hz ]	[ m/s ]	[ m/s ]	[ m/s ]
0.390625	1.193632e-8	8.053594e-8	3.302722e-8
0.78125	6.719883e-8	2.714527e-8	5.425595e-8
1.171875	7.399727e-8	2.552042e-8	3.97568e-8
1.5625	9.041729e-8	3.394536e-8	3.904732e-8
1.953125	9.641209e-8	1.273006e-8	1.543506e-8
2.34375	2.528149e-8	2.189404e-8	1.009586e-8
2.734375	5.228299e-8	2.917217e-8	7.643837e-9
3.125	7.510571e-8	2.774006e-8	1.710764e-8
3.515625	9.259206e-8	3.618111e-8	2.963086e-8
3.90625	7.158277e-8	3.280894e-8	1.824394e-8
4.296875	7.977653e-8	4.057384e-8	2.754271e-8
4.6875	1.151044e-7	4.055731e-8	2.437609e-8
5.078125	6.565237e-8	4.392914e-8	9.680677e-9
5.46875	3.831547e-8	5.928323e-8	3.66122e-8
5.859375	1.12037e-7	1.060443e-7	4.692266e-8
6.25	1.328139e-7	6.079032e-8	2.151587e-8
6.640625	2.598821e-7	1.460901e-7	6.799904e-8
7.03125	4.398868e-8	2.318553e-8	2.358785e-8
7.421875	5.566671e-8	3.88187e-9	3.48589e-8
7.8125	5.343285e-8	3.80046e-9	3.199555e-8
8.203125	5.117355e-8	8.78977e-9	2.037696e-8
8.59375	5.444786e-8	8.764744e-9	1.16476e-8
8.984375	7.124687e-8	1.050808e-8	2.596176e-9
9.375	4.869699e-8	4.229076e-9	3.651341e-8
9.765625	2.418448e-8	1.691881e-8	8.485792e-9
10.15625	6.545341e-8	2.186188e-8	3.505468e-8
10.546875	8.993714e-8	3.883694e-8	1.69446e-8
10.9375	7.889789e-8	7.517092e-9	1.842496e-8
11.328125	3.379261e-8	1.862776e-8	1.383399e-8
11.71875	5.195023e-8	2.556463e-8	1.989416e-8
12.109375	5.100632e-8	2.1008e-8	2.813168e-8
12.5	6.971936e-8	3.189544e-8	2.159634e-8
12.890625	9.403293e-8	3.515463e-9	1.932669e-8
13.28125	4.721485e-8	2.673737e-8	2.371056e-8
13.671875	4.348852e-8	2.66865e-8	3.893331e-8
14.0625	4.701192e-8	1.564124e-8	1.790847e-8
14.453125	5.586224e-8	5.375438e-9	2.374096e-8
14.84375	4.487062e-8	4.754293e-8	7.881377e-9
15.234375	4.110851e-8	1.249948e-8	1.969248e-8
15.625	7.513982e-8	1.654521e-8	1.437246e-8
16.015625	7.250222e-8	3.26077e-8	5.322195e-8
16.40625	5.896591e-8	2.645066e-8	2.931993e-8
16.796875	4.602205e-8	2.780553e-8	2.158189e-8
17.1875	4.341619e-8	4.443774e-8	2.197566e-8
17.578125	4.921388e-8	4.454622e-8	1.205599e-7
17.96875	5.799436e-8	5.927791e-8	5.824228e-8
18.359375	4.38364e-8	1.0264e-7	3.757378e-8
18.75	5.271454e-8	6.136129e-8	6.708119e-8
