Source File Name:	SigPro_Rock
Signal:	FFT - Usr FFT / Vib / Velocity - Magnitude

Frequency	Magnitude	Magnitude	Magnitude
[ Hz ]	[ m/s ]	[ m/s ]	[ m/s ]
0.390625	1.240526e-6	8.776949e-8	2.625985e-8
0.78125	6.46558e-7	5.402533e-8	5.761212e-8
1.171875	7.696481e-7	4.357787e-8	1.900762e-8
1.5625	1.090808e-6	3.776279e-8	2.016641e-8
1.953125	1.145792e-6	1.910655e-8	2.460833e-8
2.34375	1.055779e-6	2.751623e-8	1.510024e-8
2.734375	4.163928e-7	2.267332e-8	1.149853e-8
3.125	8.233564e-7	3.751737e-8	2.38994e-8
3.515625	1.088714e-6	5.417714e-8	4.198463e-8
3.90625	9.607121e-7	4.288064e-8	2.463608e-8
4.296875	3.546637e-7	4.404522e-8	8.582929e-9
4.6875	3.550189e-7	5.51039e-8	2.312796e-8
5.078125	7.768047e-7	2.982238e-8	9.615945e-9
5.46875	1.011639e-6	4.196897e-8	2.522564e-8
5.859375	9.339706e-7	7.169172e-8	5.684893e-8
6.25	3.588538e-7	6.566383e-8	4.248536e-8
6.640625	7.697801e-7	3.850242e-8	4.667958e-8
7.03125	7.98983e-7	4.606777e-8	6.131976e-8
7.421875	8.447768e-7	3.571485e-8	2.9733e-8
7.8125	5.755244e-8	1.623467e-8	1.970833e-9
8.203125	3.230164e-7	1.916802e-8	1.603688e-8
8.59375	7.015042e-7	3.117628e-8	3.246343e-8
8.984375	8.757611e-7	1.022941e-8	1.085225e-8
9.375	7.916465e-7	1.709248e-8	1.786858e-8
9.765625	2.161533e-7	2.059013e-8	1.196971e-8
10.15625	4.220205e-7	6.274421e-9	1.409721e-8
10.546875	5.748691e-7	2.740834e-8	2.02501e-8
10.9375	6.676402e-7	2.935752e-8	9.923469e-9
11.328125	7.175935e-7	2.208334e-8	1.061587e-8
11.71875	2.60161e-7	2.683291e-8	4.67327e-8
12.109375	5.713256e-7	3.572118e-8	2.229727e-8
12.5	6.267958e-7	3.619498e-8	1.735192e-8
12.890625	3.004245e-7	3.106961e-8	1.994258e-8
13.28125	2.626571e-7	3.381639e-8	3.643201e-8
13.671875	2.561914e-7	4.346143e-8	2.745055e-8
14.0625	6.052372e-7	1.905509e-8	1.04817e-8
14.453125	8.211617e-7	2.663457e-8	2.418202e-8
14.84375	6.615198e-7	2.853356e-8	2.599307e-8
15.234375	1.982109e-7	4.068479e-8	2.354129e-8
15.625	5.563294e-7	9.204787e-8	2.245992e-8
16.015625	7.008503e-7	3.562325e-8	1.994393e-8
16.40625	6.537006e-7	6.360527e-8	2.151772e-9
16.796875	3.166767e-7	9.19737e-8	1.847744e-8
17.1875	3.804693e-7	8.561869e-8	2.600326e-8
17.578125	7.253818e-7	9.019161e-8	3.691473e-8
17.96875	7.053334e-7	9.19403e-8	1.701688e-8
18.359375	6.153509e-7	9.734069e-8	3.031031e-8
18.75	3.16147e-7	6.355705e-8	1.518204e-8
19.140625	5.552376e-7	8.151239e-8	4.745587e-8
19.53125	5.898408e-7	3.133187e-8	6.511542e-8
19.921875	8.66347e-7	5.405368e-8	7.172662e-8
20.3125	4.054424e-7	1.838493e-7	1.890984e-7
20.703125	3.013511e-7	1.728612e-7	5.624448e-8
21.09375	2.751146e-7	2.715487e-7	3.417753e-7
21.484375	5.396048e-7	1.524778e-7	7.78686e-8
21.875	7.325641e-7	2.723396e-7	1.039951e-7
22.265625	1.104843e-7	2.581807e-7	7.124302e-8
22.65625	4.708307e-7	1.353468e-7	3.013397e-7
23.046875	7.397093e-7	7.4685e-7	1.510763e-7
23.4375	5.747696e-7	2.205434e-6	5.188203e-7
23.828125	5.946303e-7	5.551096e-7	9.348893e-7
24.21875	7.462933e-7	5.358365e-7	9.386455e-7
24.609375	3.445574e-7	6.201428e-7	2.776609e-7
25	4.170548e-7	2.996295e-7	7.79805e-7
25.390625	2.357671e-7	7.81791e-8	3.140183e-7
25.78125	5.013113e-7	7.73796e-7	2.034935e-7
26.171875	3.096953e-7	2.817355e-7	1.225448e-7
26.5625	2.339377e-7	1.791263e-7	1.05779e-7
26.953125	3.82673e-7	1.692672e-7	1.738106e-7
27.34375	7.666176e-7	1.314532e-7	1.601168e-7
27.734375	5.167754e-7	8.794201e-8	2.15502e-7
28.125	7.669204e-7	5.050024e-7	6.396303e-7
28.515625	9.693634e-7	1.565738e-6	1.014907e-6
28.90625	2.462376e-7	1.92784e-6	1.552023e-6
29.296875	1.455667e-6	5.378267e-7	1.217999e-6
29.6875	1.876364e-7	6.367088e-7	2.497535e-7
30.078125	3.090753e-7	3.561019e-7	1.135531e-7
30.46875	5.53721e-7	1.584747e-7	1.378431e-8
30.859375	3.707089e-7	2.807809e-7	1.010593e-7
31.25	3.416976e-7	1.908034e-7	1.480909e-7
31.640625	7.943188e-7	1.676366e-7	3.607913e-7
32.03125	6.75842e-7	4.161791e-7	4.449933e-7
32.421875	6.36463e-7	1.553703e-7	8.930571e-8
32.8125	3.605173e-7	2.511939e-7	2.81347e-7
33.203125	2.996642e-7	1.654739e-8	9.373644e-8
33.59375	3.682739e-7	1.361878e-7	3.300383e-7
33.984375	6.365999e-7	2.128737e-7	1.878902e-7
34.375	1.155914e-7	8.078857e-8	2.892324e-7
34.765625	1.841764e-7	2.354136e-7	4.111892e-7
35.15625	5.343166e-7	1.901304e-7	6.834173e-8
35.546875	6.338318e-8	1.793356e-7	3.810486e-8
35.9375	4.262727e-7	1.007218e-8	6.607249e-8
36.328125	6.145733e-7	2.138198e-8	8.840673e-8
36.71875	3.059785e-7	6.335484e-8	1.670023e-8
37.109375	3.283436e-7	9.712523e-8	8.236429e-8
37.5	1.971852e-7	3.172712e-8	5.485813e-8
37.890625	4.800697e-7	8.558867e-8	2.767427e-8
38.28125	4.384072e-7	5.552609e-8	3.353804e-8
38.671875	3.36187e-7	9.145411e-8	1.198026e-7
39.0625	2.437592e-7	1.999526e-7	6.093745e-8
39.453125	3.131462e-7	7.74943e-8	1.36457e-8
39.84375	4.875723e-7	1.580205e-7	1.273049e-7
40.234375	3.756267e-7	2.226923e-7	1.300015e-7
40.625	1.431497e-7	1.923147e-7	3.267633e-7
41.015625	4.163535e-7	2.206002e-7	2.209162e-7
41.40625	3.339398e-7	2.589562e-7	1.111396e-7
41.796875	6.423213e-7	2.418382e-7	1.801472e-7
42.1875	5.83518e-7	1.594964e-7	6.998972e-8
42.578125	9.024716e-7	1.375705e-7	4.542985e-7
42.96875	8.745204e-7	3.922321e-7	3.578005e-7
43.359375	2.839999e-7	6.722995e-7	1.752887e-7
43.75	4.597249e-7	4.939647e-7	2.272495e-7
44.140625	4.568862e-7	2.899697e-7	8.661404e-8
44.53125	6.887662e-7	2.585467e-7	2.887413e-7
44.921875	2.115872e-7	7.579267e-8	7.372951e-8
45.3125	4.486261e-7	2.695606e-7	9.568009e-8
45.703125	5.267231e-7	4.69617e-8	4.87309e-8
46.09375	5.612862e-7	1.118638e-7	1.241729e-7
46.484375	4.596604e-7	1.038024e-7	3.106715e-8
46.875	3.642762e-7	7.262285e-8	1.006496e-7
47.265625	4.499889e-7	8.500435e-8	6.389401e-8
47.65625	4.676706e-7	6.049672e-8	7.240641e-8
48.046875	4.902266e-7	6.410307e-8	3.001226e-8
48.4375	4.806701e-7	7.122338e-8	1.040959e-7
48.828125	3.757791e-7	1.432853e-7	9.27036e-9
49.21875	2.533396e-7	1.721386e-7	5.357245e-8
49.609375	4.2486e-7	4.151973e-8	5.126826e-8
50	4.459675e-7	8.108687e-8	7.072086e-8
50.390625	3.619562e-7	6.821578e-8	8.112664e-8
50.78125	2.849553e-7	3.336573e-8	3.469881e-8
51.171875	2.734788e-7	4.268756e-8	4.682207e-8
51.5625	4.61916e-7	7.867202e-8	2.254711e-8
51.953125	4.088818e-7	7.075614e-8	7.841025e-8
52.34375	1.660339e-7	6.678784e-8	1.548223e-7
52.734375	1.28701e-7	6.521994e-8	8.673737e-8
53.125	3.498764e-7	1.985886e-8	1.211752e-7
53.515625	2.705727e-7	5.600995e-8	6.906248e-9
53.90625	2.615708e-7	5.416909e-8	2.838905e-8
54.296875	3.801999e-7	3.251346e-8	1.191023e-7
54.6875	2.402945e-7	1.060952e-7	1.071041e-7
55.078125	2.248975e-7	1.639233e-8	7.44113e-8
55.46875	2.494914e-7	5.943502e-8	4.649599e-8
55.859375	1.825061e-7	9.92363e-8	1.225607e-7
56.25	2.654876e-7	1.36849e-7	1.102686e-7
56.640625	5.90724e-7	1.134996e-7	7.59194e-8
57.03125	1.838426e-7	7.437053e-8	1.617866e-7
57.421875	8.291644e-8	7.330503e-8	5.481247e-8
57.8125	1.182985e-7	7.014624e-8	9.496358e-8
58.203125	1.702515e-7	6.290824e-8	8.346402e-8
58.59375	3.256918e-7	1.598773e-7	1.866997e-7
58.984375	3.026202e-7	4.865441e-8	6.667722e-8
59.375	4.289888e-7	1.028031e-7	1.271283e-7
59.765625	2.166922e-7	1.542439e-7	1.794334e-7
60.15625	4.404936e-7	1.421739e-7	1.650097e-7
60.546875	4.395968e-7	1.345339e-7	1.067842e-7
60.9375	4.345807e-7	2.046277e-7	3.441565e-7
61.328125	2.686595e-7	2.511654e-7	1.753531e-7
61.71875	2.635308e-7	4.959378e-8	4.789856e-8
62.109375	6.248905e-7	2.453131e-8	7.30701e-8
62.5	6.576091e-7	9.373625e-8	5.77875e-8
62.890625	4.436715e-7	1.108284e-7	4.626251e-8
63.28125	3.707834e-8	5.061501e-8	3.28943e-8
63.671875	7.075336e-7	8.435507e-8	1.195185e-7
64.0625	9.199684e-7	1.068308e-7	6.791637e-8
64.453125	9.641973e-7	5.981082e-8	8.89029e-8
64.84375	6.476014e-7	7.263683e-8	2.278347e-8
65.234375	5.722849e-7	4.982808e-8	3.092986e-8
65.625	1.087505e-6	3.089698e-8	3.572376e-8
66.015625	1.202118e-6	4.219085e-8	7.891494e-8
66.40625	9.919654e-7	2.974395e-8	3.238364e-8
66.796875	6.292624e-7	9.633752e-9	2.561136e-8
67.1875	7.285124e-7	7.082431e-8	1.480891e-8
67.578125	1.126663e-6	1.153951e-7	6.385831e-8
67.96875	1.453104e-6	1.276384e-7	1.113214e-7
68.359375	1.059148e-6	7.121432e-8	7.511498e-8
68.75	4.968574e-7	1.350874e-7	7.079934e-8
69.140625	1.11844e-6	1.194777e-7	3.365382e-8
69.53125	1.446715e-6	1.285522e-7	2.783386e-8
69.921875	1.409387e-6	1.522461e-7	8.358418e-8
70.3125	8.695414e-7	1.075776e-7	6.337556e-8
70.703125	9.653096e-7	8.639138e-8	1.712407e-7
71.09375	1.177627e-6	5.78133e-8	2.668488e-8
71.484375	1.506562e-6	5.663575e-8	5.647621e-8
71.875	1.176796e-6	6.836606e-8	9.483154e-8
72.265625	9.03171e-7	1.379604e-7	2.257801e-8
72.65625	1.096328e-6	7.219775e-8	4.232006e-8
73.046875	1.455316e-6	3.775785e-8	3.263486e-8
73.4375	1.653834e-6	8.849086e-8	8.500166e-8
73.828125	1.309807e-6	5.297478e-8	4.739088e-8
74.21875	8.671634e-7	1.822316e-7	1.508193e-7
74.609375	1.083101e-6	1.156974e-7	1.350928e-7
75	1.56473e-6	7.350097e-8	7.284484e-8
75.390625	1.613675e-6	1.781719e-7	1.081115e-7
75.78125	9.74706e-7	1.033297e-7	6.243144e-8
76.171875	6.274615e-7	1.858265e-7	2.637209e-8
76.5625	1.52214e-6	1.3028e-7	1.003232e-7
76.953125	1.630947e-6	2.071094e-7	9.573952e-8
77.34375	1.128929e-6	3.026326e-7	5.724824e-8
77.734375	4.284774e-7	2.790171e-7	1.652253e-7
78.125	1.237084e-6	1.796058e-7	7.003403e-8
78.515625	1.03483e-6	1.663453e-7	1.162364e-7
78.90625	1.412562e-6	5.596196e-8	1.926661e-7
79.296875	8.784314e-7	1.486817e-7	9.137687e-8
79.6875	6.006859e-7	7.679327e-8	5.005321e-8
80.078125	1.144953e-6	1.180629e-7	6.553832e-8
80.46875	1.181737e-6	9.39358e-8	8.126743e-8
80.859375	1.027945e-6	8.513165e-8	2.197421e-8
81.25	5.042972e-7	8.684066e-8	1.081506e-8
81.640625	7.784864e-7	2.459291e-8	7.704983e-8
82.03125	1.196737e-6	4.077525e-8	3.329769e-8
82.421875	1.11057e-6	1.340353e-7	1.995314e-8
82.8125	8.164217e-7	2.540498e-8	8.558072e-8
83.203125	4.664302e-7	7.248137e-8	9.161347e-8
83.59375	9.286732e-7	7.250057e-8	1.001007e-7
83.984375	1.159753e-6	3.969e-8	8.416332e-8
84.375	1.036142e-6	6.411969e-8	4.627258e-8
84.765625	7.036833e-7	1.629789e-7	3.369723e-7
85.15625	6.317782e-7	3.139126e-7	6.693739e-7
85.546875	9.546224e-7	7.797216e-8	1.3791e-7
85.9375	9.3288e-7	7.609608e-8	1.101602e-7
86.328125	6.281401e-7	8.134262e-9	5.483861e-8
86.71875	3.229316e-7	4.216506e-8	2.922108e-8
87.109375	6.070621e-7	8.000028e-8	3.28478e-8
87.5	8.508117e-7	1.532357e-8	5.894892e-10
87.890625	8.807315e-7	2.721119e-8	2.53689e-8
88.28125	5.627443e-7	5.570418e-8	3.694034e-8
88.671875	4.744191e-7	2.075945e-8	6.613653e-8
89.0625	7.517749e-7	5.802268e-8	7.598878e-8
89.453125	7.812812e-7	5.202344e-8	4.587859e-8
89.84375	6.081075e-7	3.135667e-8	6.063491e-8
90.234375	1.396899e-7	7.775425e-8	8.276554e-8
90.625	4.573484e-7	1.086162e-7	2.814136e-8
91.015625	7.08228e-7	2.100961e-8	8.766189e-8
91.40625	7.021428e-7	4.146657e-8	6.144511e-8
91.796875	5.708664e-7	5.684858e-8	2.056825e-8
92.1875	4.089669e-7	5.179926e-8	7.840322e-8
92.578125	4.592187e-7	4.164309e-8	4.418228e-8
92.96875	5.130268e-7	1.736e-8	1.03488e-8
93.359375	5.684636e-7	1.685076e-8	2.84752e-8
93.75	3.394797e-7	2.872497e-8	4.666341e-8
94.140625	3.410375e-7	4.651404e-8	6.673724e-8
94.53125	5.311421e-7	1.631455e-8	1.79301e-8
94.921875	5.809595e-7	3.363034e-8	4.435278e-8
95.3125	5.085912e-7	1.891276e-8	2.381175e-8
95.703125	1.615573e-7	2.221298e-8	3.079309e-8
96.09375	2.513028e-7	2.929061e-8	2.125066e-8
96.484375	4.442999e-7	2.413444e-8	2.185864e-8
96.875	6.392315e-7	9.046529e-8	1.579744e-8
97.265625	5.960362e-7	2.823357e-8	5.416724e-8
97.65625	1.756533e-7	6.296058e-8	6.709269e-8
98.046875	4.310207e-7	6.370556e-8	4.798956e-8
98.4375	5.64067e-7	4.242897e-8	7.304346e-8
98.828125	5.46979e-7	7.154359e-8	1.077244e-7
99.21875	2.307573e-7	1.002977e-7	1.632188e-7
99.609375	2.807874e-7	7.086962e-8	3.835297e-8
100	4.526747e-7	5.580527e-8	1.919508e-8
100.390625	6.140132e-7	2.747714e-8	4.122182e-8
100.78125	5.479077e-7	4.796786e-8	2.744413e-8
101.171875	3.531487e-7	5.221801e-8	2.382594e-8
101.5625	5.075855e-7	4.260751e-8	1.839509e-8
101.953125	6.040714e-7	7.71461e-8	1.115286e-8
102.34375	6.738262e-7	5.397942e-8	4.000023e-8
102.734375	2.787041e-7	2.957121e-8	1.659652e-8
103.125	4.372152e-7	5.250102e-8	4.71565e-8
103.515625	6.894895e-7	6.892196e-8	1.254684e-8
103.90625	8.599309e-7	4.37825e-8	2.586916e-8
