Observation id,BW18007,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,G:/Shirley/SUBSTRATE CHOICE/GH011045.MP4,,,,,,,
Player #1,G:/Shirley/SUBSTRATE CHOICE/GH021045.MP4,,,,,,,
,,,,,,,,
Observation date,2019-01-22 11:08:32,,,,,,,
,,,,,,,,
Description,17-4,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Comment,Status,
7.711,G:/Shirley/SUBSTRATE CHOICE/GH011045.MP4,1514.330,23.98,,in syringe,,,START
606.310,G:/Shirley/SUBSTRATE CHOICE/GH011045.MP4,1514.330,23.98,,in syringe,,,STOP
606.311,G:/Shirley/SUBSTRATE CHOICE/GH011045.MP4,1514.330,23.98,,on syringe,,,START
609.202,G:/Shirley/SUBSTRATE CHOICE/GH011045.MP4,1514.330,23.98,,on syringe,,,STOP
609.203,G:/Shirley/SUBSTRATE CHOICE/GH011045.MP4,1514.330,23.98,,rock,,,START
609.203,G:/Shirley/SUBSTRATE CHOICE/GH011045.MP4,1514.330,23.98,,rock jump,,,POINT
610.167,G:/Shirley/SUBSTRATE CHOICE/GH011045.MP4,1514.330,23.98,,rock jump,,,POINT
1509.362,G:/Shirley/SUBSTRATE CHOICE/GH021045.MP4,1514.330,23.98,,rock,,,STOP
