Observation id,DE18057,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,G:/Shirley/SUBSTRATE CHOICE/GH011040.MP4,,,,,,,
Player #1,G:/Shirley/SUBSTRATE CHOICE/GH021040.MP4,,,,,,,
,,,,,,,,
Observation date,2019-01-22 10:47:57,,,,,,,
,,,,,,,,
Description,16-5,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Comment,Status,
6.747,G:/Shirley/SUBSTRATE CHOICE/GH011040.MP4,1118.830,23.98,,in syringe,,,START
75.185,G:/Shirley/SUBSTRATE CHOICE/GH011040.MP4,1118.830,23.98,,in syringe,,,STOP
75.186,G:/Shirley/SUBSTRATE CHOICE/GH011040.MP4,1118.830,23.98,,on syringe,,,START
204.351,G:/Shirley/SUBSTRATE CHOICE/GH011040.MP4,1118.830,23.98,,on syringe,,,STOP
204.352,G:/Shirley/SUBSTRATE CHOICE/GH011040.MP4,1118.830,23.98,,rock,,,START
1084.196,G:/Shirley/SUBSTRATE CHOICE/GH021040.MP4,1118.830,23.98,,rock,,,STOP
1084.197,G:/Shirley/SUBSTRATE CHOICE/GH021040.MP4,1118.830,23.98,,leaf jump,,,POINT
1084.197,G:/Shirley/SUBSTRATE CHOICE/GH021040.MP4,1118.830,23.98,,leaves,,,START
1104.012,G:/Shirley/SUBSTRATE CHOICE/GH021040.MP4,1118.830,23.98,,leaf jump,,,POINT
1104.012,G:/Shirley/SUBSTRATE CHOICE/GH021040.MP4,1118.830,23.98,,leaves,,,STOP
