Observation id,DE18057,,,,,,,,
,,,,,,,,,
Independent variables,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Analysis from,0.000,to,1118.830,,,,,,
Total length (s),1118.830,,,,,,,,
,,,,,,,,,
Time budget,,,,,,,,,
subject,behavior,modifiers,number,duration,duration_mean,duration_stdev,inter_duration_mean,inter_duration_stdev,% of total length
No focal subject,in syringe,-,1,68.438,68.438,NA,NA,NA,6.1
No focal subject,on syringe,-,1,129.165,129.165,NA,NA,NA,11.5
No focal subject,rock,-,1,879.844,879.844,NA,NA,NA,78.6
No focal subject,leaves,-,1,19.815,19.815,NA,NA,NA,1.8
No focal subject,sand,-,0,0,0,NA,-,-,-
No focal subject,rock jump,,0,0,0,NA,NA,NA,-
No focal subject,leaf jump,-,2,0,0,0,19.815,NA,-
No focal subject,sand jump,,0,0,0,NA,NA,NA,-
No focal subject,wall jump,,0,0,0,NA,NA,NA,-
No focal subject,wall,-,0,0,0,NA,-,-,-
