Observation id,EB18051,,,,,,,,
,,,,,,,,,
Independent variables,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Analysis from,0.000,to,1006.770,,,,,,
Total length (s),1006.770,,,,,,,,
,,,,,,,,,
Time budget,,,,,,,,,
subject,behavior,modifiers,number,duration,duration_mean,duration_stdev,inter_duration_mean,inter_duration_stdev,% of total length
No focal subject,in syringe,-,1,75.251,75.251,NA,NA,NA,7.5
No focal subject,on syringe,-,0,0,0,NA,-,-,-
No focal subject,rock,-,0,0,0,NA,-,-,-
No focal subject,leaves,-,1,899.736,899.736,NA,NA,NA,89.4
No focal subject,sand,-,0,0,0,NA,-,-,-
No focal subject,rock jump,,0,0,0,NA,NA,NA,-
No focal subject,leaf jump,-,5,0,0,0,80.794,145.237,-
No focal subject,sand jump,,0,0,0,NA,NA,NA,-
No focal subject,wall jump,,0,0,0,NA,NA,NA,-
No focal subject,wall,-,0,0,0,NA,-,-,-
