Group number,ID,Sex,Maturity.Date,Mass(mg),Date of trial,Subtrial order,Note,Video notes
1,DE18112,F,May-25,14.65,Jan-14,1,Cut-off,
1,DE18089,M,07-Nov,8.89,Jan-14,2,,:)
1,MF18009,M,11-Sep,8.59,Jan-14,3,,Climbed wall and was knocked down and escaped.
1,DE18052,F,May-30,22.7,Jan-14,5,,:)
1,CR18222,M,Jul-27,8.83,Jan-14,4,,:)
1,DE18068,F,Apr-17,15.12,Jan-14,6,Cut-off,
2,EB18100,M,Jun-27,6.73,12-Nov,3,,:)
2,BK18004,F,May-17,19.1,12-Nov,1,Cut-off,
2,DE18028,F,May-18,18.61,12-Nov,2,Cut-off,
2,DE18014,M,Jun-20,9.25,12-Nov,4,,Climbed wall and was knocked down.
2,BK18013,M,Jul-27,8.49,12-Nov,5,Cut-off,
2,DE18054,M,Jun-20,8.97,12-Nov,6,,:)
3,DE1882,F,Apr-17,17.22,12-Dec,1,Cut-off,
3,CC18007,F,May-14,19.37,12-Dec,2,Cut-off,
3,DE18064,M,06-Jun,9.45,12-Dec,3,,:)
3,EB18093,F,06-Nov,20.74,12-Dec,4,She hid under a leaf but she did stand on the surface of it.,:)
3,EB18057,M,09-Jun,7.57,12-Dec,5,,:)
3,EB18157,M,Aug-31,9.89,12-Dec,6,,Climbed wall then escaped.
4,SC18097,M,10-Nov,8.9,Dec-13,1,,:)
4,DE18120,M,Jun-13,7.89,Dec-13,2,"He and EB18059 both escaped but 1 squished body was found on the floor in front of the incubator, and 1 alive spider was found in the rock container. Check the video to see which is which. DE18120 was missing in the incubator (maybe?), so perhaps he could stand on a piece of rock and get into the container.",Climbed the wall and escaped. I think he's the dead one.
4,EB18059,M,Jun-13,7.94,Dec-13,3,"He and DE18120 both escaped but 1 squished body was found on the floor in front of the incubator, and 1 alive spider was found in the rock container. Check the video to see which is which. DE18059 was missing around the containers outside the incubator.",Climbed wall then fell back itself. I think the alive one should be him.
4,DE18034,F,May-14,14.2,Dec-13,4,Cut-off,
4,DE18016,F,May-17,24.73,Dec-13,5,,:)
4,BK18014,M,06-Jun,7.74,Dec-13,6,,:)
5,DE18017,F,06-Nov,20.77,Dec-14,1,,Climbed the wall many times.
5,BW18006,M,09-Jun,6.51,Dec-14,2,Cut-off,
5,DE18070,F,Apr-17,17.74,Dec-14,3,Cut-off,
5,DE18067,M,Jun-27,9.79,Dec-14,4,,Climbed wall then escaped.
5,EB18051,M,Aug-31,10.01,Dec-14,5,,Climbed wall then escaped.
5,SC18055,M,06-Jun,9.95,Dec-14,6,,Climbed wall and was knocked down.
6,CC18020,F,05-Jul,25.37,Dec-17,1, ,Climbed wall and was knocked down.
